occupation,id,gender,fame,birthyear 
creator,37703,female,star,1984
science,42159,male,star,1963
sports,7295,male,star,1961
sports,823,male,star,1969
performer,30958,female,star,1962
sports,35922,female,star,1987
creator,15603,male,superstar,1961
sports,3563,female,star,1987
creator,30327,male,star,1989
sports,32180,male,star,1964
creator,38355,male,star,1971
performer,20409,male,star,1976
performer,42299,female,superstar,1986
sports,25187,male,star,1986
performer,21604,male,superstar,1978
creator,46241,female,star,1967
performer,39224,male,star,1989
performer,39269,male,superstar,1991
religious,35904,male,star,1958
sports,24078,male,star,1995
sports,14049,male,star,1974
sports,4388,female,star,1965
science,9768,female,star,1962
sports,38548,female,star,1993
sports,13078,male,star,1979
sports,7528,male,rising,1994
performer,8878,male,star,1984
performer,42668,male,superstar,1988
sports,11210,male,star,1988
sports,7340,male,star,1992
performer,22748,female,superstar,1984
politics,27570,male,star,1971
creator,43393,male,superstar,1968
politics,23838,male,superstar,1968
sports,3888,female,star,1998
sports,4828,male,superstar,1981
sports,27996,male,rising,1994
sports,15928,male,star,1993
performer,28335,male,star,1971
politics,26966,male,star,1971
sports,9749,male,star,1993
performer,2417,female,star,1993
manager,24247,male,star,1952
sports,17912,male,star,1989
performer,19387,male,star,1981
performer,45913,female,star,1979
sports,19987,male,star,1990
professional,822,female,star,1967
sports,512,male,superstar,1992
creator,32774,male,star,1983
creator,1414,female,star,2000
performer,17522,male,star,1966
sports,2621,male,star,1984
performer,15176,female,star,1981
sports,16094,male,star,1984
creator,38150,male,star,1984
politics,24936,male,superstar,1994
performer,34700,female,star,1989
performer,15020,female,star,1991
performer,37150,female,star,1974
sports,6241,male,star,1992
performer,25787,male,star,1949
creator,3993,male,star,1971
performer,39120,male,star,1946
sports,44240,male,star,1987
politics,43464,male,star,1959
sports,21237,male,star,1986
sports,44464,male,star,1992
sports,9666,female,rising,1987
politics,30611,female,star,1987
performer,33609,female,superstar,1968
sports,703,male,star,1992
politics,13247,male,star,1959
performer,40584,male,star,1970
sports,43676,female,star,1981
sports,22102,male,star,1994
sports,19275,female,star,1988
sports,394,male,rising,1994
sports,17170,male,star,1994
politics,8644,male,rising,1950
creator,12102,female,star,1984
performer,9829,male,star,1974
performer,16980,female,star,1980
sports,9954,male,star,1983
sports,42405,male,superstar,1993
sports,5736,male,star,1984
performer,38389,male,star,1973
politics,33797,male,star,1951
sports,43249,male,star,1989
sports,18964,male,star,1982
politics,30166,female,star,1966
professional,25828,female,star,1980
creator,22376,female,star,1964
performer,18680,male,star,1972
politics,4390,male,star,1955
creator,15039,male,star,1966
manager,28371,male,star,1971
performer,31038,female,superstar,1977
performer,13565,female,star,1987
performer,41575,female,star,1957
performer,46571,male,star,1969
politics,38508,female,rising,1950
sports,30590,male,star,1996
professional,42191,male,star,1975
performer,33858,male,superstar,1974
sports,24693,female,star,1984
politics,44566,male,rising,1940
sports,33408,male,star,1984
politics,14856,male,star,1980
creator,10094,female,star,1977
sports,32038,male,star,1984
creator,47853,male,star,1968
politics,2611,male,star,1980
performer,10415,male,superstar,1995
performer,41346,male,star,1982
performer,4542,male,star,1978
sports,30759,female,star,1988
performer,27476,female,star,1988
creator,30107,male,star,1956
sports,483,male,star,1964
creator,20264,male,star,1949
performer,20583,female,superstar,1984
sports,885,male,star,1979
sports,44900,male,star,1985
performer,7688,female,star,1990
performer,8100,male,rising,1972
creator,36784,male,star,1970
performer,36146,female,star,1982
sports,10618,female,star,1992
sports,21697,male,star,1989
sports,18710,male,star,1982
performer,573,male,star,2002
performer,43994,female,superstar,1963
politics,5614,female,star,1954
sports,33487,male,star,1988
creator,314,male,star,1965
sports,24387,male,star,1985
creator,42073,male,superstar,1972
creator,33680,male,star,1971
performer,1732,female,star,1974
performer,14686,female,superstar,1977
science,32690,male,superstar,1963
performer,47795,female,star,1991
politics,16271,male,superstar,1959
performer,28772,female,star,1964
sports,26825,male,star,1986
politics,18374,male,star,1953
sports,8972,male,star,1993
creator,45858,male,superstar,1947
creator,40355,male,superstar,1964
sports,25119,male,star,1988
sports,20495,male,star,1980
performer,36633,female,star,1960
science,10082,male,star,1963
sports,4701,male,star,1986
sports,8913,male,star,1996
sports,47846,male,star,1981
sports,10010,male,star,1961
creator,30034,male,star,1978
creator,38791,female,star,1990
sports,30959,male,star,1985
sports,27910,male,star,2000
performer,28402,male,star,2000
sports,14076,male,star,1994
sports,903,female,star,1982
sports,16570,female,star,1995
performer,25324,male,star,1988
sports,6421,male,star,1991
performer,32802,male,star,1998
performer,16860,female,star,1975
creator,37596,male,star,1972
sports,28126,male,star,1993
sports,42428,male,star,1993
creator,2463,male,superstar,1982
sports,12001,male,superstar,1959
sports,24345,male,star,1981
performer,28870,male,superstar,1986
sports,40192,male,star,1967
creator,15744,male,star,1945
politics,39667,female,star,1979
sports,7194,male,star,1986
sports,31854,female,star,1996
sports,21306,male,superstar,1987
politics,31950,female,star,1969
sports,6837,male,star,1995
sports,38649,male,star,1991
politics,33917,male,star,1973
performer,28225,female,superstar,2001
sports,42173,male,star,1988
sports,19889,male,star,1987
performer,5866,male,star,2000
performer,31122,male,star,1984
creator,17618,male,superstar,1971
performer,42488,female,superstar,1981
politics,22502,male,superstar,1949
sports,26527,male,star,1989
science,29428,male,star,1950
sports,19237,female,star,1987
sports,30243,male,star,1980
sports,24924,male,rising,1985
sports,41128,male,superstar,1977
sports,11435,male,superstar,1984
creator,27927,female,star,1961
sports,30225,male,star,1986
sports,39599,female,star,1986
sports,18516,male,star,1979
performer,28468,male,star,1979
sports,34761,male,star,1990
sports,36466,male,star,1983
politics,21272,male,star,1952
creator,31579,female,star,1992
performer,22812,male,star,1986
politics,9362,female,star,1973
sports,3986,male,star,1991
performer,42302,female,star,1973
performer,39843,female,superstar,1981
performer,44677,male,star,1962
sports,11261,male,star,1988
performer,29852,male,star,1987
creator,32926,male,star,1952
sports,5268,female,star,1978
politics,9677,male,star,1946
sports,7757,male,superstar,1983
sports,12301,male,star,1987
sports,6514,male,star,1977
politics,41321,male,star,1967
sports,39979,female,rising,1991
performer,17351,male,star,1953
politics,6691,male,star,1957
sports,44590,male,star,1990
sports,6829,male,superstar,1983
manager,3344,male,star,1971
sports,1248,male,star,1945
sports,33948,male,superstar,1985
sports,47446,female,rising,1981
performer,26526,female,superstar,2001
performer,47321,female,superstar,1965
sports,8649,male,superstar,1959
performer,18147,male,star,1960
sports,43005,female,star,1983
politics,46932,male,star,1980
sports,36660,male,superstar,1993
performer,4210,male,star,1976
politics,9552,male,star,1962
performer,2374,female,star,1993
sports,19364,male,star,1976
sports,19625,female,star,1973
sports,38628,male,star,1999
creator,41165,female,star,1988
creator,36925,male,star,1986
sports,20777,male,star,1990
performer,19248,female,superstar,1989
performer,12882,male,star,1985
sports,12294,male,star,1988
sports,32072,male,star,1989
sports,43860,male,star,1995
science,6545,male,superstar,1958
performer,21696,female,star,1970
performer,34502,male,superstar,1978
creator,35102,female,star,1955
sports,33940,male,star,1992
sports,41643,male,star,1980
performer,33697,female,superstar,1971
sports,20187,male,star,1982
performer,42044,female,superstar,1981
sports,8715,male,rising,1997
sports,4272,female,rising,1989
sports,29041,female,rising,1992
sports,3942,male,star,1987
performer,46258,female,star,1943
sports,22359,male,rising,1986
performer,36540,female,star,1974
sports,39165,female,star,1971
sports,31842,male,star,1989
performer,8065,male,superstar,1983
sports,35878,male,star,1979
sports,2610,female,star,1991
politics,9646,male,star,1961
performer,33977,male,star,1942
creator,2858,female,star,1990
sports,8377,male,star,1977
performer,47089,male,star,1975
performer,28705,female,star,1984
sports,19196,male,star,1990
sports,37781,male,star,1990
sports,45502,male,star,1976
performer,10720,male,star,1986
sports,2704,female,star,1965
politics,25918,male,star,1966
sports,29459,female,star,1990
sports,8283,male,rising,1965
sports,41820,male,star,1993
sports,48083,female,star,1976
sports,23754,male,superstar,1986
performer,5932,female,star,1994
performer,34247,male,star,1992
performer,1090,male,superstar,1988
performer,46787,female,superstar,1995
performer,36883,male,star,1946
creator,11556,male,star,1973
politics,1308,male,star,1946
sports,44765,male,star,1986
performer,20985,male,star,1975
performer,7337,male,superstar,1959
performer,14390,male,superstar,1985
creator,26408,female,superstar,1975
sports,13864,male,star,1991
sports,3081,male,star,1980
performer,21722,male,superstar,1992
performer,1652,female,star,1995
sports,9715,male,star,1977
performer,29305,male,star,1979
performer,29622,female,superstar,1996
performer,37550,female,superstar,1988
performer,2275,female,superstar,1994
sports,11263,male,star,1958
sports,33260,male,star,1988
creator,47230,male,star,1984
sports,21651,male,star,1986
sports,34033,male,superstar,1990
creator,44333,female,rising,1960
performer,24069,male,superstar,1966
performer,744,male,superstar,1971
sports,14071,male,star,1978
creator,13772,male,star,1962
performer,42770,male,star,1963
sports,5533,female,star,1988
sports,24564,female,star,1994
manager,3953,male,superstar,1966
sports,19213,male,star,1980
politics,46564,male,superstar,1951
creator,2930,male,star,1989
performer,4434,male,superstar,1977
sports,32243,male,star,1980
performer,43816,female,superstar,1977
sports,41001,male,superstar,1984
performer,31165,male,star,1971
performer,8260,male,superstar,2000
sports,21507,male,star,1984
creator,36522,male,star,1968
sports,24945,male,star,1976
sports,29782,female,star,1983
performer,37462,male,star,1983
creator,11627,female,star,1985
creator,24760,male,star,1996
performer,21245,female,star,1981
performer,4414,male,superstar,1984
performer,2015,male,star,1973
sports,38622,male,superstar,1981
performer,45174,male,star,2000
sports,42315,male,star,1992
sports,38404,male,rising,1993
sports,32565,male,star,1994
sports,5354,male,star,1953
creator,39719,male,star,1974
performer,12443,female,star,1947
performer,21735,female,star,1979
performer,10282,male,superstar,1972
performer,15472,male,superstar,1989
sports,7129,male,star,1996
politics,6727,male,star,1956
politics,25775,female,star,1947
performer,20249,female,star,1982
science,44587,male,star,1945
sports,29680,male,star,1980
performer,21123,female,star,1950
creator,42055,male,star,1962
sports,9984,female,star,1987
creator,8756,female,star,1982
creator,41973,male,superstar,1968
sports,5058,male,star,1971
sports,4230,male,star,1981
sports,44046,male,star,1995
science,13590,male,star,1953
sports,18323,male,star,1981
sports,8581,male,star,1990
sports,3124,male,superstar,1980
performer,20806,male,star,1953
sports,46487,female,star,1985
sports,43341,male,star,1982
sports,8812,male,star,1997
sports,21657,male,star,1985
performer,34752,female,star,1959
sports,14074,male,star,1987
creator,39289,female,star,1985
politics,19325,female,star,1975
politics,5362,female,star,1948
science,34264,male,star,1954
politics,39838,male,star,1964
sports,1247,male,star,1991
creator,45850,male,star,1969
creator,7036,male,star,1968
creator,23791,male,star,1987
performer,4077,male,star,1975
performer,43206,male,superstar,1947
performer,45886,female,star,1971
politics,7171,male,star,1975
sports,2441,male,star,1995
politics,27129,male,star,1958
creator,41522,male,star,1970
performer,45452,female,star,1968
performer,26470,male,star,1975
manager,43434,male,star,1977
performer,2528,male,star,1994
sports,39634,male,star,1992
creator,26135,male,star,1969
sports,16614,male,star,1987
sports,8439,male,star,1989
performer,4056,male,star,1982
sports,18887,male,star,1964
performer,5761,female,star,1984
creator,15234,female,superstar,1984
politics,12704,male,superstar,1969
politics,2046,female,star,1946
religious,42353,male,star,1972
sports,14865,male,star,1970
sports,17880,male,star,1982
sports,31794,male,superstar,1990
sports,6487,male,star,1989
performer,45331,male,superstar,1986
sports,25818,female,star,1994
politics,1228,male,star,1974
sports,20433,male,star,1994
performer,33057,male,rising,1977
sports,29140,male,star,1977
sports,27653,male,star,1992
performer,10256,female,superstar,1980
sports,2469,female,star,1986
performer,8215,male,superstar,1985
performer,23751,female,star,1979
creator,21836,male,star,1970
sports,10879,female,star,1982
creator,9155,male,star,1960
sports,4005,male,star,1995
sports,11612,male,superstar,1995
politics,1328,male,star,1960
performer,39551,female,star,1972
sports,42891,female,star,1988
performer,15507,male,superstar,1977
sports,37480,male,star,1982
creator,46721,male,star,1991
sports,25146,male,star,1981
sports,11315,female,star,1983
sports,29835,male,star,1981
creator,18332,male,star,2000
sports,14593,male,star,1992
sports,38866,male,superstar,1989
sports,38830,male,superstar,1990
creator,20280,male,star,1958
religious,8783,male,superstar,1978
performer,2651,male,star,1985
sports,6021,male,star,1972
performer,1755,female,star,1977
politics,40983,male,star,1967
creator,28636,male,star,1981
performer,10967,male,superstar,1978
sports,31921,male,star,1992
sports,24663,male,star,1991
sports,37436,male,star,1955
sports,2125,male,star,1972
sports,12228,male,star,1994
sports,43506,male,star,1989
sports,35964,female,star,1987
politics,16027,male,star,1955
sports,11380,male,star,1994
creator,5206,female,star,2000
creator,13451,female,star,1984
creator,4238,female,star,1955
creator,39217,male,superstar,1947
performer,39709,male,star,1967
sports,15266,male,star,1979
sports,35423,male,star,1990
performer,7631,female,star,1957
sports,43168,male,star,1987
politics,4630,female,star,1980
politics,8663,male,star,1953
politics,35293,male,rising,1961
creator,11723,female,star,1965
science,45696,male,superstar,1961
politics,31626,female,star,1977
sports,9103,female,star,1995
performer,38942,female,star,1985
performer,30863,male,star,1975
performer,40759,female,superstar,1994
performer,17139,male,star,1980
politics,41441,female,star,1968
sports,11118,female,star,1987
performer,28075,male,star,1987
creator,46855,male,superstar,1986
sports,8835,male,superstar,1980
performer,9648,male,superstar,1953
performer,39283,female,star,1963
sports,6078,female,star,1990
politics,46382,female,star,1976
sports,12271,female,rising,1996
sports,19046,male,star,1986
sports,32435,male,star,1987
sports,14195,male,star,1988
politics,12966,female,star,1969
sports,25228,male,star,1989
performer,11907,male,star,1982
performer,12484,male,star,1975
creator,42699,male,star,1976
performer,5960,male,star,1974
science,35938,male,superstar,1969
sports,39989,male,star,1989
sports,15469,male,superstar,1990
performer,11289,female,star,1977
sports,5536,male,star,1989
sports,24257,male,star,1995
performer,22975,female,star,1987
sports,10912,female,star,1984
performer,35962,male,star,1977
sports,9968,male,star,1991
politics,38541,male,star,1966
creator,20371,male,star,1973
performer,8725,male,rising,1976
sports,29266,female,star,1976
sports,22172,male,superstar,1993
performer,37488,male,star,1971
professional,1772,male,star,1974
sports,24457,male,star,1978
performer,5087,male,star,1964
creator,34829,female,star,1982
sports,5983,male,star,1989
creator,10011,female,superstar,1973
creator,16813,male,star,1955
sports,45327,male,star,1997
creator,42556,male,star,2001
sports,36006,male,star,1979
sports,10105,male,rising,1990
manager,7145,male,star,1967
performer,18712,female,superstar,1981
performer,9258,female,superstar,1974
creator,3252,female,superstar,1984
sports,12131,male,star,1981
performer,20953,female,superstar,1978
performer,1107,female,superstar,1981
creator,690,female,star,1960
sports,15615,male,star,1992
professional,8153,female,star,1968
sports,770,male,star,1967
performer,1939,male,star,1969
politics,5642,male,star,1953
sports,41823,male,rising,1992
professional,8423,male,superstar,1983
performer,8555,female,star,1981
sports,24352,male,star,1980
sports,37394,female,star,1983
performer,16095,female,superstar,1953
performer,31432,female,superstar,1994
performer,33098,male,star,1974
creator,17573,male,star,1980
performer,20929,female,star,1979
sports,10244,male,star,1987
creator,29533,male,star,1976
performer,3712,female,star,1979
performer,24466,female,star,1975
creator,14957,male,superstar,1997
performer,44302,male,star,1976
performer,30829,female,star,1997
creator,13491,female,star,1958
science,42351,female,superstar,1956
sports,43626,female,star,1983
sports,18101,male,star,1989
performer,31206,male,superstar,1992
performer,13408,male,star,1954
creator,6005,female,superstar,1981
performer,7865,male,star,1979
sports,41920,female,star,1992
sports,16230,male,star,1987
performer,16165,female,superstar,1987
sports,17877,male,star,1983
sports,39049,male,star,1974
sports,671,male,star,1991
sports,950,male,star,1994
sports,47572,male,star,1984
sports,32960,female,star,1984
sports,13560,female,star,1993
performer,16174,male,star,1991
sports,36637,male,star,2000
creator,7556,female,star,1979
sports,8552,male,rising,1982
politics,18303,female,star,1978
sports,35216,male,superstar,1968
creator,6338,female,star,1961
sports,10585,female,superstar,1995
performer,14322,male,superstar,1986
sports,9285,male,rising,1990
performer,6370,male,star,1977
performer,39655,female,star,1977
sports,30405,male,rising,1993
science,40848,male,rising,1951
sports,20085,male,superstar,1983
sports,42305,male,star,1977
sports,22840,male,star,1983
performer,26398,male,star,1971
sports,28590,female,star,1985
sports,6307,male,rising,1997
sports,26942,male,star,1967
creator,26103,male,star,1972
sports,1539,male,star,1991
politics,39774,male,star,1956
performer,1501,female,star,1987
sports,19511,female,star,1989
sports,37511,male,superstar,1967
sports,4037,male,star,1996
science,2844,male,star,1952
sports,38549,male,star,1991
creator,35870,male,star,1960
creator,26552,male,star,1956
science,47813,male,rising,1944
creator,107,female,superstar,1973
politics,9502,female,star,1944
performer,34947,male,superstar,1986
sports,12885,male,star,1992
performer,39307,female,star,1956
sports,39295,male,star,1986
sports,45532,male,star,1983
sports,30,male,star,1956
performer,43933,male,star,1986
sports,39833,male,star,1990
sports,25458,male,star,1994
creator,23444,female,star,1977
manager,4464,male,superstar,1963
politics,23371,female,star,1953
performer,26260,male,superstar,1967
performer,10434,male,star,1952
creator,28839,male,superstar,1966
politics,9806,male,star,1956
performer,15606,male,star,1974
sports,41391,male,star,1997
creator,24045,male,superstar,1974
sports,7300,female,star,1986
politics,32652,female,star,1964
politics,38483,male,star,1953
performer,2567,female,star,1956
creator,7024,female,star,1960
sports,13223,male,star,1980
performer,3155,female,superstar,1975
performer,31311,male,star,1976
performer,3642,female,superstar,1987
sports,6538,male,star,1991
sports,36210,male,star,1995
sports,14789,male,star,1984
sports,43905,male,star,1987
sports,37058,male,star,1992
performer,27951,male,star,1968
sports,25157,male,star,1995
sports,45453,male,star,1995
sports,28851,female,star,1986
performer,43008,male,star,1978
sports,45301,male,star,1998
creator,9290,female,superstar,1983
sports,44122,female,star,1980
sports,17872,male,star,1991
performer,2890,male,superstar,1977
performer,35902,male,star,1948
sports,8621,male,superstar,1964
sports,18435,female,star,1998
creator,38116,male,star,1972
sports,27831,male,star,1972
sports,11525,male,star,1981
sports,42854,male,star,1984
sports,8115,male,superstar,1997
politics,19014,male,star,1955
creator,45008,male,star,1964
performer,14830,female,star,1982
sports,40833,female,star,1991
performer,2276,female,superstar,1953
sports,23588,male,star,1994
professional,16248,male,star,1989
politics,4582,male,star,1979
performer,41306,male,superstar,1992
performer,43442,female,superstar,1993
performer,35194,male,star,1971
performer,31805,female,star,1990
sports,8836,male,star,1996
performer,38612,male,star,1984
sports,37563,male,star,1986
sports,16758,male,star,1987
sports,22884,male,star,1982
performer,39195,female,superstar,1956
sports,16807,male,star,1980
sports,22289,female,star,1991
sports,12138,male,star,1967
sports,32430,male,superstar,1970
sports,30571,male,star,1991
politics,247,female,star,1970
performer,11914,male,star,1980
politics,22921,male,rising,1963
sports,30408,male,rising,1990
sports,2109,male,star,1990
sports,41309,female,superstar,1990
sports,41275,male,superstar,1992
performer,12018,male,star,1992
sports,21921,female,star,1982
performer,39231,male,superstar,1958
politics,24952,female,star,1972
sports,47063,female,star,1982
creator,36040,male,rising,1958
creator,31064,male,star,1991
sports,23673,male,rising,1996
politics,22312,male,star,1954
science,36484,male,star,1970
politics,30548,male,rising,1966
manager,43740,male,star,1963
sports,45789,male,superstar,1992
sports,9296,male,star,1992
performer,11444,female,star,1978
sports,7852,male,star,1992
manager,38044,male,star,1974
performer,10248,female,superstar,1974
creator,25553,male,star,1957
creator,20938,male,star,1957
sports,1011,female,star,1978
manager,2241,male,star,1957
sports,10143,male,star,1987
performer,39635,male,superstar,1994
sports,13292,male,star,1988
sports,35756,male,star,1982
politics,34675,male,star,1980
creator,3194,nonbinary,star,1967
performer,4719,female,star,1979
politics,43023,female,star,1966
professional,17428,male,star,1954
sports,23812,male,superstar,1988
science,24537,male,star,1953
sports,39553,male,star,1992
performer,20668,male,superstar,1955
manager,9696,male,star,1963
creator,24334,female,star,1948
performer,30781,male,superstar,1963
science,38151,male,star,1954
sports,36635,male,superstar,1986
sports,45048,male,star,1990
sports,8206,male,star,2000
sports,21546,male,star,1981
sports,27005,male,star,1978
sports,4382,male,star,1990
performer,24340,male,superstar,1987
politics,18050,male,star,1976
sports,38346,male,star,1994
performer,44526,male,superstar,1965
creator,11167,female,star,1970
performer,46613,female,star,1974
creator,15808,male,superstar,1940
performer,43217,male,superstar,1968
sports,48094,male,star,1988
science,24864,male,star,1969
creator,11949,female,star,1975
sports,28465,female,star,1991
creator,33603,female,star,2000
professional,44249,male,star,1978
performer,11257,male,superstar,1979
performer,11856,male,star,1989
creator,33942,male,superstar,1959
performer,21424,male,superstar,1990
performer,7498,female,star,1969
sports,26929,male,superstar,1985
creator,14065,female,star,1963
performer,995,female,star,1997
creator,15601,male,star,1956
sports,26774,male,star,1985
sports,10987,male,superstar,1978
performer,2683,female,star,1984
performer,47913,female,star,1978
sports,127,male,rising,1986
creator,27990,female,star,1948
performer,739,female,superstar,1990
politics,16418,male,star,1964
sports,22941,male,star,1988
politics,7895,female,star,1961
sports,4633,male,rising,1994
creator,27625,male,superstar,1979
sports,20337,male,star,1994
sports,23054,male,star,1993
sports,9118,male,star,1981
science,47540,male,star,1942
performer,43988,male,star,1970
performer,26974,male,star,1988
performer,42677,female,star,1987
performer,18765,male,star,1981
performer,15943,female,star,1992
performer,21797,male,star,1977
sports,29465,female,star,1988
performer,17183,female,superstar,1973
sports,9163,male,star,1988
performer,15337,male,star,1975
performer,21434,male,superstar,1965
creator,565,male,rising,1970
creator,9202,female,star,1959
manager,44454,male,superstar,1971
creator,7579,male,superstar,1967
politics,31591,male,star,1977
sports,44169,male,star,1987
sports,12119,male,star,1992
politics,44216,male,star,1974
performer,43103,male,superstar,1979
performer,22507,male,star,1984
performer,32030,male,star,1972
manager,35505,male,star,1974
professional,1245,male,star,1956
creator,19559,male,star,1955
sports,20180,male,star,1986
manager,47218,male,star,1971
performer,29185,male,star,1969
creator,45552,male,star,1966
performer,1985,female,star,1976
performer,158,male,star,1974
creator,18397,male,superstar,1958
sports,23581,male,star,1983
sports,37162,male,star,1989
sports,9804,male,star,1992
performer,7505,male,star,1975
sports,7125,male,superstar,1968
sports,19741,male,rising,1988
performer,27346,male,superstar,1980
performer,16841,female,star,1978
performer,805,male,star,1954
performer,18373,female,star,1985
performer,36320,female,star,1994
sports,4420,male,star,1994
sports,32047,male,star,1992
sports,8762,male,star,1992
performer,32917,male,star,1979
creator,7414,female,superstar,1984
sports,12918,female,star,1998
performer,27712,male,star,1951
sports,47720,male,superstar,1986
performer,360,female,star,1990
science,26661,male,star,1960
creator,30000,male,star,1989
sports,9418,male,star,1948
creator,36744,female,star,1987
sports,21241,female,star,1992
politics,18723,male,star,1959
sports,28516,male,star,1993
sports,35766,male,superstar,1988
creator,8652,male,star,1969
science,26546,female,star,1974
performer,48047,female,star,1982
politics,38528,female,star,1955
sports,6749,male,rising,1985
sports,16809,male,star,1981
sports,10700,male,star,1991
creator,20785,female,star,1960
performer,6567,female,superstar,1995
politics,22617,male,superstar,1951
sports,18867,female,star,1984
sports,46103,female,star,1993
performer,12282,male,star,1950
sports,30582,male,star,1989
creator,4867,female,superstar,1962
manager,33108,female,superstar,1959
sports,1270,male,star,1978
performer,2422,female,star,1957
performer,24483,male,star,1978
politics,15980,male,superstar,1979
performer,11486,male,star,1971
performer,24464,female,star,1978
sports,46284,male,star,1985
sports,31537,male,star,1992
science,38186,male,star,1969
sports,38349,male,star,1995
sports,23675,male,superstar,1988
performer,5956,female,star,1995
performer,36268,male,star,1949
performer,9033,female,star,1961
sports,17468,male,star,1984
performer,8912,female,superstar,1995
creator,42835,female,superstar,1988
politics,25785,male,superstar,1981
sports,5210,male,star,1992
sports,18386,male,superstar,1989
creator,7040,male,star,1950
creator,13183,female,star,1976
performer,21196,male,star,1985
sports,6154,male,star,1980
sports,40152,female,star,1985
sports,1391,male,star,1988
performer,20091,female,star,1973
sports,24918,male,superstar,1974
creator,37025,male,superstar,1989
sports,47191,male,star,1982
sports,8218,female,rising,1994
sports,24441,male,star,1986
sports,32762,female,star,1982
sports,43512,male,star,1971
politics,34486,male,superstar,1972
politics,42883,male,star,1967
performer,6058,male,star,1982
creator,28391,male,star,1962
performer,25334,female,star,1970
sports,31884,male,star,1992
politics,17173,male,star,1951
sports,23179,male,star,1982
sports,29856,male,star,1976
creator,3343,female,star,1972
sports,7788,male,star,1973
creator,29096,male,star,1954
performer,0,female,star,1992
performer,16277,male,superstar,1996
sports,12623,male,star,1998
performer,21927,female,star,1980
sports,30060,male,star,1992
creator,27613,male,star,1986
sports,26615,female,star,1992
manager,23560,male,star,1959
performer,23112,male,superstar,1985
sports,32505,male,star,1987
sports,33594,male,superstar,1980
creator,32264,male,star,1977
performer,41963,female,star,1997
sports,12051,male,star,1994
sports,36033,male,star,1975
creator,5482,male,superstar,1964
politics,27661,male,star,1965
performer,18346,male,star,1978
performer,41163,male,star,1942
performer,6520,female,star,1990
creator,24800,male,star,1957
performer,40671,male,superstar,1976
sports,24699,male,star,1987
performer,9797,male,star,1966
creator,35498,male,star,1981
sports,14257,female,star,1991
sports,48064,male,star,1988
sports,47605,male,star,1970
science,30656,female,star,1940
sports,35332,female,rising,1983
creator,997,female,star,1987
performer,38799,male,superstar,1979
politics,25602,male,rising,1948
sports,13206,male,star,1991
professional,21497,male,rising,1974
performer,3218,male,star,1973
politics,39131,male,star,1950
creator,43061,male,superstar,1962
sports,29217,male,star,1994
science,29328,male,star,1951
creator,40570,male,star,1974
creator,34185,male,star,1986
politics,12955,male,star,1958
performer,4605,male,superstar,1993
performer,40802,male,superstar,1965
creator,40141,female,star,1981
sports,33831,male,star,1987
performer,9741,male,star,1984
performer,45770,female,superstar,1974
sports,26912,male,star,1986
sports,47270,male,star,1985
creator,40333,male,star,1975
sports,15024,male,star,1990
creator,34926,male,superstar,1981
performer,20285,female,star,1954
sports,41025,female,star,1993
sports,13506,male,superstar,1952
sports,5105,male,star,1989
politics,1099,male,star,1982
creator,3381,male,star,1984
creator,30823,female,rising,1991
sports,10226,male,superstar,1985
performer,45856,male,star,1967
performer,68,female,star,1982
creator,2107,male,star,1990
sports,25606,male,star,1989
sports,16477,female,rising,1990
politics,16360,male,star,1965
sports,29939,male,star,1987
sports,10696,male,star,1995
sports,38190,female,star,1996
sports,11720,male,star,1993
sports,979,female,rising,1995
politics,29574,male,superstar,1979
sports,27724,male,star,1988
performer,15753,male,superstar,1964
sports,26265,male,star,1983
sports,40546,male,star,1995
creator,42333,female,superstar,1986
creator,3217,male,superstar,1988
creator,7073,male,star,1965
sports,4378,male,star,1992
performer,8,male,star,1994
science,17712,male,star,1965
performer,12183,female,superstar,1986
performer,19013,male,star,1975
sports,12970,female,star,1994
performer,40232,male,superstar,1977
sports,29345,male,star,1965
politics,25985,male,star,1986
sports,15105,male,star,1978
creator,29844,female,star,1963
sports,44850,male,star,1980
creator,11127,male,star,1990
performer,10173,male,star,1982
performer,12594,female,star,1975
sports,26662,male,star,1986
performer,20005,female,superstar,1988
performer,43149,male,star,1976
sports,37225,male,star,1992
sports,36550,female,star,1985
manager,12033,male,star,1951
sports,42959,male,star,1986
manager,18116,male,star,1943
creator,38773,male,superstar,1982
sports,35931,male,superstar,1980
politics,26060,female,star,1964
sports,22700,male,star,1982
sports,36432,male,star,1994
sports,23474,male,superstar,1976
sports,35806,male,star,1987
sports,41816,male,star,1982
creator,42040,female,star,1952
sports,47859,male,superstar,1986
performer,13752,male,star,1970
performer,13961,female,star,1990
sports,11037,male,star,1993
sports,31088,male,star,1980
creator,43755,male,star,1968
sports,26515,male,star,1984
performer,32178,female,star,1970
performer,23488,male,superstar,1986
professional,45060,male,superstar,1961
sports,43055,female,star,1988
performer,31896,male,superstar,1997
politics,17795,male,star,1980
creator,15686,female,star,1980
sports,9875,male,star,1990
sports,11652,male,star,1975
sports,33422,male,star,1986
performer,23658,female,star,1996
sports,17998,male,star,1971
politics,704,female,superstar,1953
performer,47475,male,star,1957
science,39057,male,star,1984
performer,29499,male,star,2000
sports,14061,male,star,1977
science,3426,male,star,1961
sports,1254,male,star,1978
performer,45654,male,star,1951
sports,9047,male,star,1976
politics,28802,male,star,1967
creator,38877,male,star,1968
